IMDB_Rating,Director,Runtime,Genre,GoodMovie
7.7,Spike Jonze,115,"Comedy, Drama",0
7.8,Anthony Russo,147,"Action, Adventure, Sci-Fi",0
8.1,Terry George,121,"Biography, Drama, History",1
8.4,Hrishikesh Mukherjee,122,"Drama, Musical",1
8.6,Steven Spielberg,169,"Drama, War",1
8.1,Emir Kusturica,127,"Comedy, Crime, Romance",1
7.8,Leo McCarey,69,"Comedy, Musical, War",0
7.8,Clint Eastwood,135,Western,0
7.7,Bob Gale,116,"Adventure, Comedy, Drama",0
7.8,Robert De Niro,121,"Crime, Drama, Romance",0
7.6,David Yates,153,"Action, Adventure, Family",0
7.6,Richard Donner,109,"Action, Crime, Thriller",0
7.6,George Miller,96,"Action, Adventure, Sci-Fi",0
8.6,Jonathan Demme,118,"Crime, Drama, Thriller",1
8,Destin Daniel Cretton,96,Drama,0
8.4,Nadine Labaki,126,Drama,1
7.9,Alfred Hitchcock,101,"Crime, Film-Noir, Thriller",0
8.3,Fritz Lang,117,"Crime, Mystery, Thriller",1
7.9,John Lasseter,92,"Animation, Adventure, Comedy",0
8.3,Billy Wilder,107,"Crime, Drama, Film-Noir",1
8.5,Roger Allers,88,"Animation, Adventure, Drama",1
8.2,Clint Eastwood,130,"Drama, Western",1
8.2,Christopher Nolan,140,"Action, Adventure",1
7.9,Denis Villeneuve,116,"Drama, Sci-Fi",0
7.8,Edgar Wright,121,"Action, Comedy, Mystery",0
7.6,Fred Zinnemann,118,"Drama, Romance, War",0
7.9,Michael Curtiz,102,"Action, Adventure, Romance",0
7.8,Philip Kaufman,193,"Adventure, Biography, Drama",0
8.1,Sujoy Ghosh,122,"Mystery, Thriller",1
7.7,Imtiaz Ali,159,"Drama, Music, Musical",0
7.7,Alfonso Cuarón,97,"Drama, Family, Fantasy",0
7.6,Ron Howard,140,"Adventure, Drama, History",0
7.6,Eric Bress,113,"Drama, Sci-Fi, Thriller",0
7.8,Thomas Vinterberg,117,"Comedy, Drama",0
8.6,Bong Joon Ho,132,"Comedy, Drama, Thriller",1
7.8,Terence Young,108,Thriller,0
7.8,Jack Clayton,100,Horror,0
8.1,Ingmar Bergman,89,Drama,1
7.7,Mark Osborne,108,"Animation, Adventure, Drama",0
8,Hayao Miyazaki,125,"Animation, Adventure, Drama",0
7.8,Gareth Edwards,133,"Action, Adventure, Sci-Fi",0
7.8,Andrew Niccol,106,"Drama, Sci-Fi, Thriller",0
7.8,Lasse Hallström,118,Drama,0
7.9,Tarsem Singh,117,"Adventure, Drama, Fantasy",0
8.3,Thomas Vinterberg,115,Drama,1
7.7,Brian G. Hutton,158,"Action, Adventure, War",0
8.6,Sudha Kongara,153,Drama,1
7.6,Terry Gilliam,118,"Adventure, Comedy, Drama",0
7.6,Alfred Hitchcock,86,"Crime, Mystery, Thriller",0
8.3,Sam Mendes,119,"Drama, Thriller, War",1
8.1,Kaige Chen,171,"Drama, Music, Romance",1
7.6,Alejandro Amenábar,101,"Horror, Mystery, Thriller",0
8.2,Aditya Dhar,138,"Action, Drama, War",1
7.7,Edward Zwick,154,"Action, Drama",0
8,Joss Whedon,143,"Action, Adventure, Sci-Fi",0
8,Damien Chazelle,128,"Comedy, Drama, Music",0
8,James Gunn,121,"Action, Adventure, Comedy",0
