,Title,World Sales (in $),IMDB_Rating,Runtime,Genre,Director
81,300,456068181,7.6,117 min,"Action, Drama",Zack Snyder
82,Coco,807817888,8.4,105 min,"Animation, Adventure, Family",Lee Unkrich
83,Sherlock Holmes,524028679,7.6,128 min,"Action, Adventure, Mystery",Guy Ritchie
84,Dawn of the Planet of the Apes,710644566,7.6,130 min,"Action, Adventure, Drama",Matt Reeves
85,Batman Begins,373661946,8.2,140 min,"Action, Adventure",Christopher Nolan
86,Ratatouille,623726085,8.0,111 min,"Animation, Adventure, Comedy",Brad Bird
87,Terminator 2: Judgment Day,520881154,8.5,137 min,"Action, Sci-Fi",James Cameron
88,Tangled,592462816,7.7,100 min,"Animation, Adventure, Comedy",Nathan Greno
89,Indiana Jones and the Last Crusade,474171806,8.2,127 min,"Action, Adventure",Steven Spielberg
90,Spider-Man: Into the Spider-Verse,375540831,8.4,117 min,"Animation, Action, Adventure",Bob Persichetti
91,Dunkirk,527016307,7.8,106 min,"Action, Drama, History",Christopher Nolan
92,Wreck-It Ralph,471222889,7.7,101 min,"Animation, Adventure, Comedy",Rich Moore
93,Interstellar,701729206,8.6,169 min,"Adventure, Drama, Sci-Fi",Christopher Nolan
94,Gladiator,465380802,8.5,155 min,"Action, Adventure, Drama",Ridley Scott
95,Dances with Wolves,424208848,8.0,181 min,"Adventure, Drama, Western",Kevin Costner
96,The Fugitive,368875760,7.8,130 min,"Action, Crime, Drama",Andrew Davis
97,The Revenant,532950503,8.0,156 min,"Action, Adventure, Drama",Alejandro G. Iñárritu
98,Ocean's Eleven,450717150,7.7,116 min,"Crime, Thriller",Steven Soderbergh
99,Planet of the Apes,362211740,8.0,112 min,"Adventure, Sci-Fi",Franklin J. Schaffner
100,How to Train Your Dragon 2,621537519,7.8,102 min,"Animation, Action, Adventure",Dean DeBlois
101,The Bourne Supremacy,290835269,7.7,108 min,"Action, Mystery, Thriller",Paul Greengrass
102,Apollo 13,355237933,7.6,140 min,"Adventure, Drama, History",Ron Howard
103,Rain Man,354825435,8.0,133 min,Drama,Barry Levinson
104,The Matrix,466625730,8.7,136 min,"Action, Sci-Fi",Lana Wachowski
105,True Grit,252276927,7.6,110 min,"Drama, Western",Ethan Coen
106,A Beautiful Mind,316791257,8.2,135 min,"Biography, Drama",Ron Howard
107,The Help,216639112,8.0,146 min,Drama,Tate Taylor
108,Hidden Figures,235956898,7.8,127 min,"Biography, Drama, History",Theodore Melfi
109,Gone Girl,369330363,8.1,149 min,"Drama, Mystery, Thriller",David Fincher
110,Casino Royale,616502912,8.0,144 min,"Action, Adventure, Thriller",Martin Campbell
111,Knives Out,311605581,7.9,130 min,"Comedy, Crime, Drama",Rian Johnson
112,Catch Me If You Can,352114312,8.1,141 min,"Biography, Crime, Drama",Steven Spielberg
113,The Pursuit of Happyness,307127625,8.0,117 min,"Biography, Drama",Gabriele Muccino
114,Django Unchained,426074373,8.4,165 min,"Drama, Western",Quentin Tarantino
115,Straight Outta Compton,201634991,7.8,147 min,"Biography, Drama, History",F. Gary Gray
116,Halloween,255614941,7.7,91 min,"Horror, Thriller",John Carpenter
117,1917,384919389,8.3,119 min,"Drama, Thriller, War",Sam Mendes
118,Who Framed Roger Rabbit,329803958,7.7,104 min,"Animation, Adventure, Comedy",Robert Zemeckis
119,Mad Max: Fury Road,375658750,8.1,120 min,"Action, Adventure, Sci-Fi",George Miller
120,La La Land,448906865,8.0,128 min,"Comedy, Drama, Music",Damien Chazelle
121,As Good as It Gets,314178011,7.7,139 min,"Comedy, Drama, Romance",James L. Brooks
122,Gran Torino,269958228,8.1,116 min,Drama,Clint Eastwood
123,Taken,226837760,7.8,90 min,"Action, Thriller",Pierre Morel
124,A Few Good Men,243240178,7.7,138 min,"Drama, Thriller",Rob Reiner
125,Slumdog Millionaire,378410542,8.0,120 min,"Drama, Romance",Danny Boyle
126,The King's Speech,427374317,8.0,118 min,"Biography, Drama, History",Tom Hooper
127,Platoon,138545632,8.1,120 min,"Drama, War",Oliver Stone
128,Good Will Hunting,225933435,8.3,126 min,"Drama, Romance",Gus Van Sant
129,The Green Mile,286801374,8.6,189 min,"Crime, Drama, Fantasy",Frank Darabont
130,Argo,232325503,7.7,120 min,"Biography, Drama, Thriller",Ben Affleck
131,The Godfather,246120986,9.2,175 min,"Crime, Drama",Francis Ford Coppola
132,Wonder,306209289,8.0,113 min,"Drama, Family",Stephen Chbosky
133,The Departed,291465373,8.5,151 min,"Crime, Drama, Thriller",Martin Scorsese
134,Silver Linings Playbook,236412453,7.7,122 min,"Comedy, Drama, Romance",David O. Russell
135,Minority Report,358372926,7.6,145 min,"Action, Crime, Mystery",Steven Spielberg
