Runtime,Genre,Director
121,"Adventure, Drama, Fantasy",Jim Jarmusch
101,"Crime, Drama",Shane Meadows
102,Drama,Darren Aronofsky
152,"Drama, War",Lewis Milestone
110,"Action, Crime, Drama",Luc Besson
103,"Comedy, Musical, Romance",Stanley Donen
101,"Comedy, Drama, Family",David Mickey Evans
101,Drama,Pedro Almodóvar
101,"Adventure, Comedy, Drama",Taika Waititi
130,"Action, Adventure, Comedy",Taika Waititi
110,"Comedy, Drama",Jean Renoir
146,"Action, Crime, Drama",Tony Scott
157,"Adventure, Family, Fantasy",Mike Newell
100,"Crime, Drama",Nicolas Winding Refn
104,"Drama, War",Louis Malle
99,"Crime, Drama, Thriller",Joel Coen
103,"Crime, Drama, Romance",Takeshi Kitano
98,Drama,Tony Kaye
95,"Drama, Fantasy",Luis Buñuel
189,"Crime, Drama, Fantasy",Frank Darabont
119,"Action, Adventure, Comedy",David Leitch
130,"Drama, Family, Fantasy",Frank Capra
178,"Action, Adventure, Drama",Peter Jackson
180,"Biography, Crime, Drama",Martin Scorsese
107,"Animation, Adventure, Comedy",Ron Clements
91,Drama,Ingmar Bergman
117,"Action, Comedy, Crime",Matthew Vaughn
80,"Drama, Horror, Sci-Fi",Don Siegel
99,"Adventure, Comedy, Crime",Wes Anderson
92,"Crime, Drama, Film-Noir",Charles Laughton
116,"Crime, Drama, Mystery",Billy Wilder
126,"Biography, Drama, History",Todd Haynes
128,"Action, Crime, Thriller",John Woo
89,Comedy,Mike Judge
178,"Action, Drama, History",Ken Annakin
94,"Action, Crime, Drama",Terrence Malick
87,"Drama, Fantasy, Mystery",Richard Schenkman
129,"Drama, Mystery, Romance",Juan José Campanella
88,"Crime, Drama, Mystery",Akira Kurosawa
116,Drama,Clint Eastwood
204,"Action, Adventure, Comedy",Ramesh Sippy
96,"Adventure, Drama, Western",John Ford
130,"Animation, Drama, Family",Naoko Yamada
109,"Action, Crime, Drama",David Ayer
101,"Comedy, Crime, Drama",Mary Harron
167,"Action, Drama",S.S. Rajamouli
117,"Horror, Sci-Fi",Ridley Scott
